procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20415508 189236 7696860    0    0     0    90 1222 1846  1  1 98  0  0
 0  0      0 20415784 189324 7697200    0    0     0   150 1180 1799  1  1 98  0  0
 0  0      0 20376628 189404 7708852    0    0     0   137 1251 2005  1  1 98  0  0
 0  0      0 20409544 189468 7696972    0    0     0   122 1267 1928  1  1 98  0  0
 0  0      0 20409360 189500 7697052    0    0     0    75 1141 1609  1  1 98  0  0
 0  0      0 20447592 189572 7668008    0    0     0    83 1165 1773  1  1 98  0  0
 0  0      0 20434444 189636 7668276    0    0     0    88 1180 1710  1  1 98  0  0
 0  0      0 20416444 189684 7696440    0    0     0    72 1316 1915  1  1 98  0  0
 1  0      0 20424792 189744 7697072    0    0     0   108 1225 1801  1  1 98  0  0
 0  0      0 20425320 189800 7696856    0    0     0   115 1200 1733  1  1 99  0  0
 0  0      0 20420636 189872 7696752    0    0     0    69 1153 1691  1  1 99  0  0
 1  0      0 20412868 189928 7696652    0    0     0   472 1268 1742  1  1 98  0  0
 0  0      0 20436388 189976 7668112    0    0     0  1304 1424 2133  1  1 98  0  0
 0  0      0 20437308 190040 7668380    0    0     0    95 1120 1622  1  1 99  0  0
 0  0      0 20446600 190128 7668148    0    0     0    83 1310 1712  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20464148 190176 7668424    0    0     0  1694 1283 1718  1  1 98  0  0
 0  0      0 20472736 190240 7668428    0    0     0    79 1165 1661  1  1 99  0  0
 0  0      0 20463900 190288 7668436    0    0     0    86 1191 1725  1  1 98  0  0
 0  0      0 20442976 190360 7671660    0    0     5    69 1285 1662  1  1 99  0  0
 0  0      0 20455660 190408 7670208    0    0     0   111 1319 1798  1  1 98  0  0
 0  0      0 20462428 190464 7660112    0    0     0    99 1247 1732  1  1 99  0  0
 0  0      0 20457476 190512 7660192    0    0     0    78 1322 1752  1  1 99  0  0
 0  0      0 20391356 190664 7675552    0    0     0   206 1403 2308  1  1 98  0  0
 0  0      0 20444432 190704 7661024    0    0     0    97 1362 1901  1  1 98  0  0
 0  0      0 20460888 190752 7660760    0    0     0    86 1271 1787  1  1 99  0  0
 0  0      0 20455348 190816 7660524    0    0     0    93 1267 1763  1  1 99  0  0
 0  0      0 20441416 190888 7663892    0    0     0    98 1294 1727  1  1 99  0  0
 0  0      0 20456688 190952 7661072    0    0     0    80 1425 1885  1  1 98  0  0
 0  0      0 20464636 190992 7661060    0    0     0    69 1290 1693  1  1 99  0  0
 0  0      0 20479748 191056 7661216    0    0     0    75 1287 1811  1  1 98  0  0
 0  0      0 20481896 191128 7661152    0    0     0    74 1361 1836  1  1 98  0  0
 0  0      0 20462892 191192 7661176    0    0     0    97 1280 1718  1  1 99  0  0
 0  0      0 20471276 191232 7660944    0    0     0    68 1251 1666  1  1 99  0  0
 0  0      0 20462848 195280 7668668    0    0   250   356 1282 1784  1  1 99  0  0
 0  0      0 20458256 195344 7668400    0    0     0    67 1168 1598  1  1 99  0  0
 1  0      0 20444684 195400 7668588    0    0     0    74 1133 1608  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20453192 195440 7668440    0    0     0    71 1184 1713  1  1 98  0  0
 0  0      0 20455512 195512 7671280    0    0     0    81 1218 1749  1  1 98  0  0
 0  0      0 20455404 195568 7668716    0    0     0    85 1153 1649  1  1 99  0  0
 1  0      0 20453588 195656 7670604    0    0     0   110 1186 1743  1  1 98  0  0
 0  0      0 20445364 195696 7670428    0    0     0    91 1181 1723  1  1 98  0  0
 1  0      0 20432456 195744 7671536    0    0     0    76 1182 1662  1  1 99  0  0
 0  0      0 20393844 195824 7680740    0    0     0    63 1218 1846  1  1 99  0  0
 0  0      0 20448636 195864 7668040    0    0     0    96 1276 1803  1  1 98  0  0
 0  0      0 20468052 195920 7668800    0    0     0    85 1216 1772  1  1 98  0  0
 0  0      0 20462372 195984 7668580    0    0     0    75 1165 1654  1  1 99  0  0
 0  0      0 20455440 196056 7671688    0    0     0   101 1102 1679  1  0 99  0  0
 0  0      0 20434328 196088 7668616    0    0     0    71 1193 1842  1  1 99  0  0
 0  0      0 20452572 196152 7668868    0    0     0    92 1162 1742  1  1 99  0  0
 0  0      0 20452176 196216 7668616    0    0     0    80 1168 1697  1  1 98  0  0
 1  0      0 20456248 196264 7668616    0    0     0    55 1117 1646  1  1 98  0  0
 0  0      0 20441080 196344 7668656    0    0     0   108 1191 1691  1  1 98  0  0
 1  0      0 20441080 196376 7668672    0    0     0    28 1127 1600  1  1 98  0  0
 0  0      0 20440808 196456 7668668    0    0     0   100 1167 1657  1  1 98  0  0
 0  0      0 20432992 196480 7668404    0    0     0    67 1169 1656  1  1 98  0  0
 0  0      0 20443320 196584 7669108    0    0     0    89 1269 1705  1  1 98  0  0
 0  0      0 20443040 196616 7668596    0    0     0    66 1121 1616  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20447328 196680 7669156    0    0     0    83 1213 1807  1  1 98  0  0
 0  0      0 20444796 196712 7668248    0    0     0    31 1099 1627  1  1 99  0  0
 0  0      0 20467568 196808 7664788    0    0     0   133 1223 1793  1  1 98  0  0
 0  0      0 20459180 196856 7664696    0    0     0    62 1131 1699  1  1 99  0  0
 0  0      0 20452284 196928 7667776    0    0     0    48 1157 1631  1  1 99  0  0
 0  0      0 20451864 196968 7664980    0    0     0    69 1184 1692  1  1 98  0  0
 0  0      0 20399124 197056 7676760    0    0     0    65 1242 2053  1  1 98  0  0
 0  0      0 20457628 197096 7668124    0    0     0   119 1254 1882  1  1 98  0  0
 0  0      0 20460608 197184 7664900    0    0     0   153 1218 1752  1  1 98  0  0
 0  0      0 20458524 197216 7664912    0    0     0    64 1178 1671  1  1 99  0  0
 0  0      0 20444360 197272 7664580    0    0     0    95 1192 1788  1  1 98  0  0
 0  0      0 20435104 197312 7664456    0    0     0    73 1113 1541  1  1 99  0  0
 0  0      0 20434364 197368 7664996    0    0     0    70 1162 1610  1  1 98  0  0
 0  0      0 20434060 197408 7668380    0    0     0    71 1169 1686  1  1 98  0  0
 0  0      0 20457300 197488 7664756    0    0     0   109 1288 1931  1  1 98  0  0
 0  0      0 20454300 197528 7665020    0    0     0    68 1126 1583  1  1 99  0  0
 1  0      0 20460260 197592 7664852    0    0     0    93 1154 1647  1  1 98  0  0
 0  0      0 20453788 197632 7665344    0    0     0    76 1160 1610  1  1 99  0  0
 0  0      0 20442588 197720 7665084    0    0     0    84 1215 1742  1  1 98  0  0
 0  0      0 20449160 197760 7665332    0    0     0    52 1080 1575  1  1 99  0  0
 0  0      0 20460152 197816 7665104    0    0     0    90 1177 1719  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20445992 197856 7667984    0    0     0    77 1217 1807  1  1 98  0  0
 0  0      0 20438576 197952 7665148    0    0     0   103 1176 1737  1  1 99  0  0
 0  0      0 20444780 197992 7667252    0    0     0    69 1135 1638  1  1 99  0  0
 0  0      0 20439208 198064 7664876    0    0     0   101 1177 1727  1  1 98  0  0
 0  0      0 20406020 198112 7674280    0    0     0   122 1193 1848  1  1 99  0  0
 0  0      0 20440740 198192 7665456    0    0     0   115 1207 1766  1  1 98  0  0
 0  0      0 20435412 198232 7668616    0    0     0    53 1142 1646  1  1 99  0  0
 0  0      0 20442872 198304 7665244    0    0     0   113 1269 1846  1  1 98  0  0
 0  0      0 20439776 198360 7665160    0    0     0    90 1147 1619  1  1 99  0  0
 0  0      0 20449460 198424 7664756    0    0     0    66 1189 1703  1  1 98  0  0
 0  0      0 20445224 198472 7665284    0    0     0    85 1138 1573  1  1 99  0  0
 0  0      0 20427420 198552 7668644    0    0     0   125 1138 1712  1  1 98  0  0
 0  0      0 20421416 198608 7671828    0    0     0    85 1207 1666  1  1 98  0  0
 0  0      0 20439768 198664 7665792    0    0     0    95 1225 1743  1  1 98  0  0
 0  0      0 20453296 198712 7665196    0    0     0    74 1132 1665  1  1 98  0  0
 0  0      0 20447632 198768 7665764    0    0     0    85 1086 1626  1  1 99  0  0
 0  0      0 20446404 198824 7665488    0    0     0    68 1094 1605  1  1 99  0  0
 0  0      0 20449928 198896 7665816    0    0     0    98 1151 1760  1  1 98  0  0
 1  0      0 20442824 198928 7667244    0    0     0    53 1172 1536  1  1 99  0  0
 1  0      0 20439872 198984 7668428    0    0     0    93 1178 1694  1  1 99  0  0
 0  0      0 20428836 199024 7670512    0    0     0    51 1153 1660  1  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 20429496 199136 7668032    0    0     0    79 1233 1868  1  1 98  0  0
 0  0      0 20435860 199200 7667772    0    0     0   100 1139 1648  1  1 98  0  0
 0  0      0 20431608 199248 7667836    0    0     0    67 1110 1641  1  1 99  0  0
 0  0      0 20391852 199312 7677096    0    0     0    60 1170 2015  1  1 99  0  0
 2  0      0 20426800 199380 7670948    0    0     0   148 1269 1803  1  1 98  0  0
 0  0      0 20426352 199420 7667900    0    0     0    83 1176 1652  1  1 98  0  0
 0  0      0 20413004 199492 7667396    0    0     0    86 1165 1679  1  1 98  0  0
 0  0      0 20435564 199532 7667884    0    0     0    71 1177 1620  1  1 98  0  0
 0  0      0 20434968 199604 7668180    0    0     0    90 1272 1850  1  1 98  0  0
 1  0      0 20438316 199636 7667924    0    0     0    50 1165 1628  1  1 99  0  0
 0  0      0 20424716 199712 7670500    0    0     0    94 1180 1709  1  1 98  0  0
 0  0      0 20426224 199752 7673584    0    0     0    66 1119 1669  1  1 99  0  0
 0  0      0 20433452 199808 7668232    0    0     0    96 1232 1773  1  1 99  0  0
 0  0      0 20435824 199864 7666444    0    0     0   101 1152 1727  1  1 99  0  0
 0  0      0 20434532 199944 7666200    0    0     0    93 1134 1663  1  1 99  0  0
