procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 20999000 307504 6730952    0    0     5    11   36   46  4  1 94  0  0
 6  0      0 20867536 307560 6801196    0    0     0   221 10864 30332 17  5 77  0  0
 5  0      0 20635624 307672 6978128    0    0     0   259 11501 33643 18  5 77  0  0
 0  0      0 21095416 307740 6742220    0    0     0   316 12240 34568 20  4 77  0  0
 3  0      0 20959388 307904 6742068    0    0     0   248 9685 29418 13  2 85  0  0
 1  0      0 20927648 307952 6742696    0    0     0   135 9107 28452 10  2 88  0  0
 3  0      0 20963652 308032 6735848    0    0     0   145 8266 28429 10  2 88  0  0
 1  0      0 20938180 308056 6736960    0    0     0   114 9241 28258 10  2 88  0  0
 2  0      0 21089256 308152 6730580    0    0     0   148 8679 28921 10  2 88  0  0
 3  0      0 21091232 308240 6730588    0    0     0   142 9223 28836 11  2 87  0  0
 1  0      0 21045536 308320 6744792    0    0     0   163 9534 30346 12  2 86  0  0
 0  0      0 20952760 308948 6765260    0    0   127   117 8878 30228 11  2 87  0  0
 4  0      0 20972536 309064 6742260    0    0     1   230 8728 29097 12  2 86  0  0
 1  0      0 21035852 309160 6738688    0    0     1  1927 9957 30346 13  2 85  0  0
 4  0      0 21052492 309236 6737880    0    0     0   218 9241 29810 12  2 86  0  0
 2  0      0 20997964 309324 6720720    0    0     0   155 9367 29448 12  2 86  0  0
 1  0      0 20956988 309376 6749852    0    0     0   189 7720 28714 11  2 88  0  0
 1  0      0 21155744 309452 6677180    0    0     0   122 8474 29831 11  2 87  0  0
 2  0      0 21110908 309576 6695192    0    0     0   188 8521 28861 11  2 87  0  0
 5  0      0 21036764 309648 6694596    0    0     0   177 9071 30413 12  2 86  0  0
 0  0      0 21001976 309800 6697256    0    0     0   219 6572 14610  8  2 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 21147032 309880 6705884    0    0     1   137 2862 6943  3  1 96  0  0
 0  0      0 21225168 309948 6662516    0    0     0   150 2108 5656  2  1 97  0  0
 2  0      0 21262480 310000 6662344    0    0     0   123 2378 6381  3  1 96  0  0
 0  0      0 21238020 310092 6635588    0    0     0   117 2259 4871  3  1 96  0  0
 0  0      0 21258608 310188 6635192    0    0     0   474 2440 5435  3  1 96  0  0
 1  0      0 21223936 310256 6642424    0    0     0  1341 2678 5268  3  1 96  0  0
 0  0      0 21228004 310320 6636488    0    0     0   121 2126 5580  3  1 96  0  0
 0  0      0 21223528 310400 6632668    0    0     0   113 2329 4613  3  1 96  0  0
 2  0      0 21182348 310504 6643444    0    0     0   125 2056 4036  2  1 97  0  0
 2  1      0 21234788 310628 6633252    0    0     0   175 2466 4609  3  1 96  0  0
 0  0      0 21224012 310700 6625424    0    0     0   112 2205 4316  2  1 97  0  0
 0  0      0 21223380 310748 6628084    0    0     0    89 2254 4781  3  1 97  0  0
 0  0      0 21199848 310832 6629324    0    0     0    85 2150 4617  2  1 97  0  0
 1  0      0 21187688 310924 6633096    0    0     3   141 2497 4784  3  1 96  0  0
