2024-05-02 20:14:11 [1714698851] : running TPC-DS benchmark
2024-05-02 20:14:11 [1714698851] : running queries defined in TPC-DS benchmark
2024-05-02 20:14:11 [1714698851] :   running query 2
2024-05-02 20:14:13 [1714698853] :     query 2 finished OK (1 seconds)
2024-05-02 20:14:13 [1714698853] :   running query 3
2024-05-02 20:14:14 [1714698854] :     query 3 finished OK (1 seconds)
2024-05-02 20:14:14 [1714698854] :   running query 5
2024-05-02 20:14:15 [1714698855] :     query 5 finished OK (1 seconds)
2024-05-02 20:14:15 [1714698855] :   running query 6
2024-05-02 20:14:16 [1714698856] :     query 6 finished OK (1 seconds)
2024-05-02 20:14:16 [1714698856] :   running query 7
2024-05-02 20:14:17 [1714698857] :     query 7 finished OK (1 seconds)
2024-05-02 20:14:17 [1714698857] :   running query 8
2024-05-02 20:14:19 [1714698859] :     query 8 finished OK (1 seconds)
2024-05-02 20:14:19 [1714698859] :   running query 9
2024-05-02 20:14:20 [1714698860] :     query 9 finished OK (1 seconds)
2024-05-02 20:14:20 [1714698860] :   running query 10
2024-05-02 20:14:27 [1714698867] :     query 10 finished OK (4 seconds)
2024-05-02 20:14:27 [1714698867] :   running query 12
2024-05-02 20:14:28 [1714698868] :     query 12 finished OK (1 seconds)
2024-05-02 20:14:28 [1714698868] :   running query 13
2024-05-02 20:14:30 [1714698870] :     query 13 finished OK (1 seconds)
2024-05-02 20:14:30 [1714698870] :   running query 14
2024-05-02 20:14:33 [1714698873] :     query 14 finished OK (2 seconds)
2024-05-02 20:14:33 [1714698873] :   running query 15
2024-05-02 20:14:34 [1714698874] :     query 15 finished OK (1 seconds)
2024-05-02 20:14:34 [1714698874] :   running query 16
2024-05-02 20:14:35 [1714698875] :     query 16 finished OK (1 seconds)
2024-05-02 20:14:35 [1714698875] :   running query 17
2024-05-02 20:14:39 [1714698879] :     query 17 finished OK (2 seconds)
2024-05-02 20:14:39 [1714698879] :   running query 18
2024-05-02 20:14:40 [1714698880] :     query 18 finished OK (1 seconds)
2024-05-02 20:14:40 [1714698880] :   running query 19
2024-05-02 20:14:41 [1714698881] :     query 19 finished OK (1 seconds)
2024-05-02 20:14:41 [1714698881] :   running query 20
2024-05-02 20:14:42 [1714698882] :     query 20 finished OK (1 seconds)
2024-05-02 20:14:42 [1714698882] :   running query 21
2024-05-02 20:14:44 [1714698884] :     query 21 finished OK (1 seconds)
2024-05-02 20:14:44 [1714698884] :   running query 22
2024-05-02 20:14:51 [1714698891] :     query 22 finished OK (4 seconds)
2024-05-02 20:14:51 [1714698891] :   running query 23
2024-05-02 20:14:55 [1714698895] :     query 23 finished OK (2 seconds)
2024-05-02 20:14:55 [1714698895] :   running query 24
2024-05-02 20:14:56 [1714698896] :     query 24 finished OK (1 seconds)
2024-05-02 20:14:56 [1714698896] :   running query 25
2024-05-02 20:14:59 [1714698899] :     query 25 finished OK (2 seconds)
2024-05-02 20:14:59 [1714698899] :   running query 26
2024-05-02 20:15:00 [1714698900] :     query 26 finished OK (1 seconds)
2024-05-02 20:15:00 [1714698900] :   running query 27
2024-05-02 20:15:02 [1714698902] :     query 27 finished OK (1 seconds)
2024-05-02 20:15:02 [1714698902] :   running query 28
2024-05-02 20:15:05 [1714698905] :     query 28 finished OK (2 seconds)
2024-05-02 20:15:05 [1714698905] :   running query 29
2024-05-02 20:15:07 [1714698907] :     query 29 finished OK (1 seconds)
2024-05-02 20:15:07 [1714698907] :   running query 30
2024-05-02 20:15:20 [1714698920] :     query 30 finished OK (7 seconds)
2024-05-02 20:15:20 [1714698920] :   running query 31
2024-05-02 20:15:22 [1714698922] :     query 31 finished OK (1 seconds)
2024-05-02 20:15:22 [1714698922] :   running query 32
2024-05-02 20:15:23 [1714698923] :     query 32 finished OK (1 seconds)
2024-05-02 20:15:23 [1714698923] :   running query 33
2024-05-02 20:15:25 [1714698925] :     query 33 finished OK (1 seconds)
2024-05-02 20:15:25 [1714698925] :   running query 34
2024-05-02 20:15:26 [1714698926] :     query 34 finished OK (1 seconds)
2024-05-02 20:15:26 [1714698926] :   running query 35
2024-05-02 20:15:28 [1714698928] :     query 35 finished OK (1 seconds)
2024-05-02 20:15:28 [1714698928] :   running query 36
2024-05-02 20:15:29 [1714698929] :     query 36 finished OK (1 seconds)
