2024-04-24 18:23:19 [1714000999] : running TPC-DS benchmark
2024-04-24 18:23:19 [1714000999] : running queries defined in TPC-DS benchmark
2024-04-24 18:29:40 [1714001380] :     query 51 finished OK (1 seconds)
2024-04-24 18:29:40 [1714001380] :   running query 52
2024-04-24 18:29:41 [1714001381] :     query 52 finished OK (1 seconds)
2024-04-24 18:29:41 [1714001381] :   running query 53
2024-04-24 18:29:42 [1714001382] :     query 53 finished OK (1 seconds)
2024-04-24 18:29:42 [1714001382] :   running query 54
2024-04-24 18:29:43 [1714001383] :     query 54 finished OK (1 seconds)
2024-04-24 18:29:43 [1714001383] :   running query 55
2024-04-24 18:29:44 [1714001384] :     query 55 finished OK (1 seconds)
2024-04-24 18:29:44 [1714001384] :   running query 56
2024-04-24 18:29:45 [1714001385] :     query 56 finished OK (1 seconds)
2024-04-24 18:29:45 [1714001385] :   running query 57
2024-04-24 18:29:46 [1714001386] :     query 57 finished OK (1 seconds)
2024-04-24 18:29:46 [1714001386] :   running query 58
2024-04-24 18:29:47 [1714001387] :     query 58 finished OK (1 seconds)
2024-04-24 18:29:47 [1714001387] :   running query 59
2024-04-24 18:29:48 [1714001388] :     query 59 finished OK (1 seconds)
2024-04-24 18:29:48 [1714001388] :   running query 60
2024-04-24 18:29:49 [1714001389] :     query 60 finished OK (1 seconds)
2024-04-24 18:29:49 [1714001389] :   running query 61
2024-04-24 18:29:50 [1714001390] :     query 61 finished OK (1 seconds)
2024-04-24 18:29:50 [1714001390] :   running query 62
2024-04-24 18:29:51 [1714001391] :     query 62 finished OK (1 seconds)
2024-04-24 18:29:51 [1714001391] :   running query 63
2024-04-24 18:29:52 [1714001392] :     query 63 finished OK (1 seconds)
2024-04-24 18:29:52 [1714001392] :   running query 64
2024-04-24 18:29:53 [1714001393] :     query 64 finished OK (1 seconds)
2024-04-24 18:29:53 [1714001393] :   running query 65
2024-04-24 18:29:54 [1714001394] :     query 65 finished OK (1 seconds)
2024-04-24 18:29:54 [1714001394] :   running query 66
2024-04-24 18:29:55 [1714001395] :     query 66 finished OK (1 seconds)
2024-04-24 18:29:55 [1714001395] :   running query 67
2024-04-24 18:29:57 [1714001397] :     query 67 finished OK (2 seconds)
2024-04-24 18:29:57 [1714001397] :   running query 68
2024-04-24 18:29:58 [1714001398] :     query 68 finished OK (1 seconds)
2024-04-24 18:29:58 [1714001398] :   running query 69
