,Query,TPCH,GPT,Improvement
0,1,1.37,1.36,0.0072992700729927066
1,2,0.2,0.22,-0.09999999999999995
2,3,0.29,0.33,-0.13793103448275876
3,5,0.29,0.29,0.0
4,6,0.2,0.21,-0.049999999999999906
5,7,0.34,0.31,0.08823529411764713
6,8,0.15,0.14,0.06666666666666654
7,9,0.86,0.8,0.06976744186046505
8,10,0.28,0.26,0.07142857142857148
9,11,0.07,0.08,-0.14285714285714277
10,12,0.41,0.33,0.19512195121951212
11,13,0.29,0.29,0.0
12,14,0.12,0.12,0.0
13,16,0.18,0.17,0.055555555555555455
14,17,1.31,1.51,-0.1526717557251908
15,18,1.91,2.04,-0.06806282722513095
16,20,0.94,0.92,0.021276595744680753
17,21,0.34,0.33,0.029411764705882377
18,22,0.06,0.05,0.1666666666666666
