,Query,TPCH,GPT,Improvement
0,1,1.4140000000000001,1.326,0.06223479490806228
1,2,0.33999999999999997,0.194,0.42941176470588227
2,3,0.328,0.27,0.17682926829268292
3,4,0.134,0.186,-0.3880597014925372
4,5,0.278,0.294,-0.05755395683453222
5,6,0.20600000000000002,0.2,0.029126213592233035
6,7,0.316,0.32,-0.012658227848101278
7,8,0.17200000000000001,0.14200000000000002,0.17441860465116277
8,9,0.806,0.792,0.017369727047146417
9,10,0.242,0.24,0.008264462809917363
10,11,0.08,0.06,0.25000000000000006
11,12,0.332,0.33799999999999997,-0.018072289156626353
12,13,0.322,0.322,0.0
13,14,0.134,0.128,0.044776119402985114
14,15,0.43200000000000005,0.426,0.013888888888889029
15,16,0.20800000000000002,0.194,0.06730769230769236
16,17,1.286,1.262,0.018662519440124432
17,18,1.8960000000000001,1.8940000000000001,0.0010548523206751063
18,19,0.04,0.038000000000000006,0.04999999999999987
19,20,0.9520000000000002,0.9380000000000001,0.014705882352941303
20,21,0.332,0.34,-0.024096385542168693
21,22,0.06,0.06,0.0
