,Query,TPCH,GPT,Improvement
0,1,1.33,1.3400000000000003,-0.007518796992481376
1,2,0.188,0.18,0.04255319148936174
2,3,0.26,0.256,0.015384615384615398
3,4,0.13,0.13,0.0
4,5,0.276,0.27,0.021739130434782625
5,6,0.20600000000000002,0.20400000000000001,0.009708737864077678
6,7,0.358,0.44400000000000006,-0.24022346368715106
7,8,0.174,0.15,0.1379310344827586
8,9,0.892,0.8720000000000001,0.022421524663677025
9,10,0.254,0.242,0.04724409448818902
10,11,0.08,0.07,0.12499999999999993
11,12,0.332,0.326,0.018072289156626523
12,13,0.28400000000000003,0.28200000000000003,0.007042253521126766
13,14,0.124,0.122,0.01612903225806453
14,15,0.426,0.40599999999999997,0.04694835680751178
15,16,0.19,0.168,0.11578947368421048
16,17,1.242,1.248,-0.004830917874396139
17,18,1.8939999999999997,1.8780000000000001,0.008447729672650249
18,19,0.042,0.042,0.0
19,20,0.9199999999999999,0.8940000000000001,0.028260869565217176
20,21,0.326,0.33,-0.01226993865030676
21,22,0.06,0.057999999999999996,0.03333333333333337
