,Query,TPCDS,GPT,Improvement
0,2,0.332,0.326,0.018072289156626523
1,3,0.03,0.027999999999999997,0.06666666666666674
2,5,0.394,0.392,0.005076142131979699
3,6,81.19399999999999,82.22600000000001,-0.012710298790551335
4,7,0.41600000000000004,0.414,0.004807692307692445
5,8,0.057999999999999996,0.054000000000000006,0.06896551724137914
6,9,1.83,1.7920000000000003,0.02076502732240427
7,10,3.2439999999999998,3.16,0.025893958076448717
8,12,0.038000000000000006,0.04000000000000001,-0.05263157894736846
9,13,0.276,0.268,0.028985507246376836
10,14,19.114,17.796,0.06895469289526009
11,15,0.064,0.06,0.06250000000000006
12,16,0.17600000000000002,0.182,-0.034090909090908963
13,17,1.7259999999999998,1.9460000000000002,-0.12746234067207443
14,18,0.22999999999999998,0.22799999999999998,0.008695652173913052
15,19,0.134,0.128,0.044776119402985114
16,20,0.04,0.042,-0.050000000000000044
17,21,0.35200000000000004,0.34400000000000003,0.022727272727272745
18,22,3.386,3.428,-0.012404016538688663
19,23,0.02,2.476,-122.8
20,24,0.062,0.06,0.03225806451612906
21,25,1.196,1.198,-0.0016722408026755868
22,26,0.198,0.194,0.020202020202020218
23,27,0.38,0.366,0.036842105263157926
24,28,1.314,1.292,0.016742770167427715
25,29,0.6220000000000001,0.622,1.7849244768893189e-16
26,30,0.02,6.51,-324.5
27,31,4.933999999999999,4.492,0.08958248885285759
28,32,0.034,0.03,0.11764705882352951
29,33,0.202,0.198,0.01980198019801982
30,34,0.10200000000000001,0.1,0.01960784313725492
31,35,0.7639999999999999,0.716,0.06282722513088997
32,36,0.274,0.278,-0.014598540145985413
33,37,0.028000000000000004,0.026000000000000002,0.07142857142857148
34,38,0.6859999999999999,0.7060000000000001,-0.029154518950437507
35,39,3.5759999999999996,1.7860000000000003,0.500559284116331
36,40,0.05,0.05,0.0
37,41,0.8860000000000001,0.03,0.9661399548532731
38,42,0.118,0.11599999999999999,0.0169491525423729
39,43,0.21200000000000002,0.21400000000000002,-0.00943396226415095
40,44,0.52,0.49800000000000005,0.042307692307692234
41,45,0.066,0.064,0.030303030303030328
42,46,0.19,0.186,0.021052631578947385
43,47,1.1219999999999999,1.15,-0.024955436720142627
44,48,0.316,0.3,0.05063291139240511
45,49,0.02,0.05399999999999999,-1.6999999999999993
46,50,0.04,0.04,0.0
47,51,0.8380000000000001,0.8480000000000001,-0.011933174224343686
48,53,0.162,0.164,-0.012345679012345689
49,54,0.132,0.12,0.09090909090909098
50,55,0.07200000000000001,0.07,0.0277777777777778
51,56,0.458,0.556,-0.2139737991266376
52,57,0.536,0.556,-0.03731343283582093
53,58,0.08,0.082,-0.025000000000000022
54,59,0.46799999999999997,0.458,0.02136752136752127
55,60,0.6020000000000001,0.608,-0.009966777408637696
56,61,0.11000000000000001,0.11599999999999999,-0.054545454545454335
57,62,0.10400000000000001,0.1,0.03846153846153849
58,63,0.164,0.168,-0.024390243902439046
59,64,0.454,5.886,-11.964757709251101
60,65,0.6,0.6199999999999999,-0.03333333333333318
61,66,0.178,1.1760000000000002,-5.60674157303371
62,67,1.178,1.112,0.05602716468590818
63,68,0.15000000000000002,0.14800000000000002,0.013333333333333343
64,69,0.382,0.404,-0.05759162303664926
65,70,0.462,0.466,-0.008658008658008665
66,71,0.202,0.192,0.04950495049504955
67,72,0.31000000000000005,0.29000000000000004,0.0645161290322581
68,73,0.12,0.11599999999999999,0.03333333333333337
69,75,0.99,0.942,0.048484848484848526
70,76,0.27,0.276,-0.02222222222222224
71,77,0.304,0.29200000000000004,0.03947368421052617
72,78,2.2079999999999997,2.028,0.08152173913043466
73,79,0.21200000000000002,0.20600000000000002,0.02830188679245285
74,80,0.34600000000000003,0.35,-0.011560693641618346
75,81,38.902,30.177999999999997,0.22425582232275984
76,82,0.03,0.03,0.0
77,83,0.068,0.066,0.029411764705882377
78,84,0.038000000000000006,0.04,-0.05263157894736828
79,85,0.09,0.086,0.04444444444444449
80,86,0.136,0.138,-0.014705882352941188
81,87,0.744,0.714,0.040322580645161324
82,88,2.0580000000000003,2.022,0.01749271137026262
83,89,0.164,0.17,-0.03658536585365857
84,90,0.07,0.07200000000000001,-0.028571428571428595
85,91,0.038,0.03,0.2105263157894737
86,92,0.052000000000000005,0.028000000000000004,0.4615384615384615
87,93,0.03,0.03,0.0
88,94,0.05800000000000001,0.05600000000000001,0.03448275862068968
89,95,11.174000000000001,10.852,0.02881689636656532
90,96,0.09,0.09,0.0
91,97,0.398,0.376,0.055276381909547784
92,98,0.12,0.118,0.016666666666666684
