,Query,TPCH,GPT,Improvement
0,1,1.37,1.78,-0.29927007299270064
1,2,0.2,0.39,-0.95
2,3,0.29,0.46,-0.5862068965517243
3,4,0.14,0.24,-0.7142857142857141
4,5,0.29,0.61,-1.1034482758620692
5,6,0.2,0.3,-0.4999999999999999
6,7,0.34,0.64,-0.8823529411764705
7,8,0.15,0.28,-0.8666666666666669
8,9,0.86,1.61,-0.8720930232558141
9,10,0.28,0.44,-0.5714285714285713
10,11,0.07,0.12,-0.7142857142857141
11,12,0.41,0.46,-0.12195121951219524
12,13,0.29,0.43,-0.48275862068965525
13,14,0.12,0.21,-0.75
14,16,0.18,0.24,-0.3333333333333333
15,17,1.31,1.98,-0.5114503816793893
16,18,1.91,2.53,-0.3246073298429319
17,19,0.04,0.04,0.0
18,20,0.94,1.52,-0.6170212765957448
19,21,0.34,0.48,-0.4117647058823528
20,22,0.06,0.08,-0.3333333333333334
