,Query,TPCDS,GPT,Improvement
0,3,0.028000000000000004,0.026000000000000002,0.07142857142857148
1,6,54.024,0.064,0.9988153413297793
2,7,0.404,0.404,0.0
3,8,0.054000000000000006,5.644,-103.5185185185185
4,9,1.814,0.326,0.8202866593164277
5,10,3.1180000000000003,3.224,-0.033996151379089116
6,12,0.034,0.034,0.0
7,13,0.258,0.256,0.007751937984496131
8,16,0.18200000000000002,0.182,1.5250316272323576e-16
9,17,1.6119999999999997,1.6020000000000003,0.006203473945409023
10,18,0.21200000000000002,0.21600000000000003,-0.0188679245283019
11,19,0.122,0.122,0.0
12,20,0.04,0.04,0.0
13,21,0.36200000000000004,0.346,0.044198895027624495
14,22,3.272,3.2920000000000003,-0.0061124694376529535
15,25,1.14,1.142,-0.0017543859649122825
16,26,0.196,0.188,0.040816326530612276
17,28,1.31,1.3199999999999998,-0.007633587786259379
18,29,0.5860000000000001,0.58,0.010238907849829549
19,31,4.328,2.2220000000000004,0.48659889094269865
20,34,0.1,0.098,0.020000000000000018
21,35,0.692,0.696,-0.005780346820809254
22,37,0.028000000000000004,0.028000000000000004,0.0
23,38,0.662,0.5720000000000001,0.1359516616314199
24,40,0.046,0.04800000000000001,-0.04347826086956541
25,42,0.11599999999999999,0.11399999999999999,0.017241379310344845
26,44,0.49800000000000005,0.276,0.4457831325301205
27,46,0.188,0.184,0.02127659574468087
28,47,1.134,1.048,0.07583774250440906
29,48,0.3,0.298,0.006666666666666673
30,50,0.036000000000000004,0.036000000000000004,0.0
31,52,0.122,0.12,0.016393442622950834
32,54,0.11399999999999999,0.032,0.7192982456140351
33,55,0.07400000000000001,0.07200000000000001,0.027027027027027046
34,57,0.54,0.522,0.03333333333333336
35,58,0.07200000000000001,0.06,0.1666666666666668
36,61,0.11000000000000001,0.02,0.8181818181818181
37,67,0.914,0.9480000000000001,-0.03719912472647706
38,68,0.10600000000000001,0.10600000000000001,0.0
39,70,0.358,0.36000000000000004,-0.00558659217877111
40,71,0.14,0.132,0.05714285714285719
41,72,0.20800000000000002,0.21200000000000002,-0.019230769230769246
42,73,0.084,0.08600000000000001,-0.02380952380952383
43,75,0.7379999999999999,0.74,-0.002710027100271156
44,76,0.198,0.194,0.020202020202020218
45,80,0.264,0.316,-0.19696969696969693
46,82,0.03,0.03,0.0
47,83,0.068,0.07400000000000001,-0.08823529411764713
48,85,0.084,0.08,0.04761904761904766
49,87,0.6719999999999999,0.6780000000000002,-0.008928571428571768
50,88,1.9799999999999998,0.14200000000000002,0.9282828282828283
51,89,0.17200000000000001,0.168,0.023255813953488393
52,91,0.038,0.032,0.15789473684210523
53,93,0.022000000000000002,0.026000000000000002,-0.1818181818181818
54,94,0.054000000000000006,0.05,0.07407407407407413
55,95,10.342000000000002,0.202,0.9804679945851866
56,96,0.092,0.08800000000000001,0.043478260869565105
57,97,0.34199999999999997,0.34600000000000003,-0.011695906432748713
58,98,0.118,0.118,0.0
