,Query,TPCDS,GPT,Improvement
0,2,0.34199999999999997,0.34800000000000003,-0.017543859649122986
1,3,0.028000000000000004,0.028000000000000004,0.0
2,6,57.284000000000006,0.07,0.9987780182948118
3,7,0.43,0.41200000000000003,0.04186046511627898
4,8,0.05600000000000001,0.04,0.2857142857142858
5,9,1.8020000000000003,0.316,0.8246392896781354
6,10,3.144,3.146,-0.0006361323155215584
7,12,0.032,0.03,0.06250000000000006
8,13,0.274,0.252,0.08029197080291978
9,15,0.06,0.064,-0.06666666666666674
10,16,0.184,0.184,0.0
11,17,1.596,1.6920000000000002,-0.060150375939849676
12,18,0.21600000000000003,0.21200000000000002,0.01851851851851853
13,19,0.122,0.12,0.016393442622950834
14,20,0.04,0.04,0.0
15,21,0.34600000000000003,0.34400000000000003,0.0057803468208092535
16,22,3.3760000000000003,3.376,1.3154301239634554e-16
17,25,1.1120000000000003,1.12,-0.007194244604316351
18,26,0.19,0.19,0.0
19,27,0.38,0.36599999999999994,0.03684210526315807
20,28,1.3080000000000003,1.2420000000000002,0.05045871559633031
21,29,0.574,0.5759999999999998,-0.0034843205574910992
22,31,4.2,0.8019999999999999,0.809047619047619
23,34,0.098,0.098,0.0
24,35,0.6839999999999999,0.6980000000000001,-0.020467836257310124
25,36,0.28,0.272,0.028571428571428595
26,37,0.024,0.026000000000000002,-0.08333333333333341
27,38,0.6679999999999999,0.5519999999999999,0.17365269461077845
28,40,0.044000000000000004,0.041999999999999996,0.04545454545454565
29,41,0.744,0.024,0.9677419354838709
30,42,0.11399999999999999,0.11200000000000002,0.01754385964912258
31,43,0.20600000000000002,0.2,0.029126213592233035
32,44,0.496,0.266,0.4637096774193548
33,45,0.064,0.064,0.0
34,46,0.194,0.184,0.051546391752577365
35,47,1.16,0.984,0.15172413793103443
36,50,0.038000000000000006,0.036000000000000004,0.05263157894736846
37,52,0.118,0.118,0.0
38,54,0.11399999999999999,0.034,0.7017543859649122
39,55,0.07,0.07,0.0
40,57,0.56,0.548,0.021428571428571446
41,58,0.08,0.06,0.25000000000000006
42,60,0.6300000000000001,0.246,0.6095238095238096
43,61,0.10800000000000001,0.022000000000000002,0.7962962962962963
44,62,0.1,0.10400000000000001,-0.040000000000000036
45,63,0.154,0.154,0.0
46,65,0.524,0.264,0.4961832061068702
47,68,0.10400000000000001,0.10200000000000001,0.019230769230769246
48,69,0.28600000000000003,0.28600000000000003,0.0
49,70,0.354,0.36,-0.0169491525423729
50,72,0.21599999999999997,0.21200000000000002,0.01851851851851828
51,73,0.08600000000000001,0.08399999999999999,0.023255813953488552
52,75,0.724,0.7280000000000001,-0.005524861878453197
53,76,0.196,0.19,0.03061224489795921
54,78,1.6320000000000001,1.6620000000000001,-0.018382352941176485
55,80,0.258,0.254,0.015503875968992262
56,81,27.585999999999995,0.084,0.9969549771623287
57,82,0.03,0.03,0.0
58,83,0.066,0.06599999999999999,2.1026951223961297e-16
59,84,0.036000000000000004,0.034,0.0555555555555556
60,85,0.084,0.07800000000000001,0.07142857142857133
61,86,0.12,0.11400000000000002,0.049999999999999815
62,87,0.678,0.668,0.014749262536873168
63,88,1.92,0.14,0.9270833333333333
64,89,0.168,0.164,0.02380952380952383
65,90,0.07,0.04,0.4285714285714286
66,91,0.034,0.032,0.058823529411764754
67,94,0.055999999999999994,0.052000000000000005,0.07142857142857126
68,95,10.41,0.196,0.9811719500480308
69,96,0.086,0.08399999999999999,0.023255813953488396
70,97,0.35,0.346,0.011428571428571439
71,98,0.122,0.118,0.03278688524590167
72,99,0.17,0.18000000000000002,-0.058823529411764754
