,Query,TPCH,GPT,Improvement
0,1,1.37,1.36,0.0072992700729927066
1,2,0.2,0.2,0.0
2,3,0.29,0.28,0.034482758620689495
3,4,0.14,0.19,-0.35714285714285704
4,5,0.29,0.31,-0.06896551724137938
5,6,0.2,0.2,0.0
6,7,0.34,0.33,0.029411764705882377
7,8,0.15,0.15,0.0
8,9,0.86,0.84,0.023255813953488393
9,10,0.28,0.27,0.03571428571428574
10,11,0.07,0.08,-0.14285714285714277
11,12,0.41,0.31,0.2439024390243902
12,13,0.29,0.29,0.0
13,14,0.12,0.12,0.0
14,15,0.42,0.43,-0.023809523809523832
15,16,0.18,0.17,0.055555555555555455
16,17,1.31,1.28,0.022900763358778647
17,18,1.91,1.86,0.026178010471204098
18,19,0.04,0.05,-0.25000000000000006
19,20,0.94,1.01,-0.07446808510638304
20,21,0.34,0.33,0.029411764705882377
21,22,0.06,0.06,0.0
